Day Index,Quantity,Impressions,Clicks,Day,Month,Year,Day of Week,Weekend,December,January,February,March,April,May,June,is monday,is tuesday,is wednesday,is thursday,is friday,is saturday,is sunday,Quantity per Impressions,Quantity per Clicks,Quantity_lag1,Impressions_lag1,Clicks_lag1,Quantity 7-day MA,Impressions 7-day MA,Clicks 7-day MA
2022-03-07,18,1571,468,7,3,2022,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.011457670273711012,0.038461538461538464,23.0,1386.0,548.0,20.857142857142858,1397.7142857142858,507.7142857142857
2022-03-08,20,1392,495,8,3,2022,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.014367816091954023,0.04040404040404041,18.0,1571.0,468.0,20.857142857142858,1352.857142857143,506.2857142857143
2022-03-09,22,1179,526,9,3,2022,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.018659881255301103,0.04182509505703422,20.0,1392.0,495.0,21.571428571428573,1332.0,508.57142857142856
2022-03-10,16,1292,475,10,3,2022,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.01238390092879257,0.03368421052631579,22.0,1179.0,526.0,21.0,1311.5714285714287,510.85714285714283
2022-03-11,24,1278,517,11,3,2022,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.018779342723004695,0.04642166344294004,16.0,1292.0,475.0,22.0,1320.7142857142858,509.2857142857143
2022-03-12,27,1400,507,12,3,2022,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.019285714285714285,0.05325443786982249,24.0,1278.0,517.0,21.428571428571427,1356.857142857143,505.14285714285717
2022-03-13,19,1371,534,13,3,2022,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.013858497447118891,0.035580524344569285,27.0,1400.0,507.0,20.857142857142858,1354.7142857142858,503.14285714285717
2022-03-14,13,1341,552,14,3,2022,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.009694258016405667,0.02355072463768116,19.0,1371.0,534.0,20.142857142857142,1321.857142857143,515.1428571428571
2022-03-15,15,1223,514,15,3,2022,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.012264922322158627,0.029182879377431907,13.0,1341.0,552.0,19.428571428571427,1297.7142857142858,517.8571428571429
2022-03-16,17,1439,471,16,3,2022,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0118137595552467,0.036093418259023353,15.0,1223.0,514.0,18.714285714285715,1334.857142857143,510.0
2022-03-17,15,1225,472,17,3,2022,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.012244897959183673,0.03177966101694915,17.0,1439.0,471.0,18.571428571428573,1325.2857142857142,509.57142857142856
2022-03-18,19,2442,372,18,3,2022,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.007780507780507781,0.051075268817204304,15.0,1225.0,472.0,17.857142857142858,1491.5714285714287,488.85714285714283
